--------- beginning of main
I/SharedAudio( 3469): pcm peak=146 state=0
I/SharedAudio( 3469): pcm peak=154 state=0
I/SharedAudio( 3469): pcm peak=147 state=0
I/SharedAudio( 3469): pcm peak=119 state=0
I/SharedAudio( 3469): pcm peak=132 state=0
I/SharedAudio( 3469): pcm peak=101 state=0
I/SharedAudio( 3469): pcm peak=93 state=0
I/SharedAudio( 3469): pcm peak=104 state=0
I/SharedAudio( 3469): pcm peak=154 state=0
I/SharedAudio( 3469): pcm peak=160 state=0
I/SharedAudio( 3469): pcm peak=163 state=0
I/SharedAudio( 3469): pcm peak=150 state=0
I/SharedAudio( 3469): pcm peak=142 state=0
I/SharedAudio( 3469): pcm peak=104 state=0
I/SharedAudio( 3469): pcm peak=109 state=0
I/SharedAudio( 3469): pcm peak=109 state=0
I/SharedAudio( 3469): pcm peak=124 state=0
I/SharedAudio( 3469): pcm peak=151 state=0
I/SharedAudio( 3469): pcm peak=153 state=0
I/SharedAudio( 3469): pcm peak=161 state=0
I/SharedAudio( 3469): pcm peak=118 state=0
I/SharedAudio( 3469): pcm peak=137 state=0
I/SharedAudio( 3469): pcm peak=123 state=0
I/SharedAudio( 3469): pcm peak=142 state=0
I/SharedAudio( 3469): pcm peak=112 state=0
I/SharedAudio( 3469): pcm peak=127 state=0
I/SharedAudio( 3469): pcm peak=154 state=0
I/SharedAudio( 3469): pcm peak=124 state=0
I/SharedAudio( 3469): pcm peak=128 state=0
I/SharedAudio( 3469): pcm peak=145 state=0
I/SharedAudio( 3469): pcm peak=103 state=0
I/SharedAudio( 3469): pcm peak=113 state=0
I/SharedAudio( 3469): pcm peak=110 state=0
I/SharedAudio( 3469): pcm peak=111 state=0
I/SharedAudio( 3469): pcm peak=148 state=0
I/SharedAudio( 3469): pcm peak=154 state=0
I/SharedAudio( 3469): pcm peak=143 state=0
I/SharedAudio( 3469): pcm peak=141 state=0
I/SharedAudio( 3469): pcm peak=137 state=0
I/SharedAudio( 3469): pcm peak=97 state=0
I/SharedAudio( 3469): pcm peak=125 state=0
I/SharedAudio( 3469): pcm peak=95 state=0
I/SharedAudio( 3469): pcm peak=111 state=0
I/SharedAudio( 3469): pcm peak=162 state=0
I/SharedAudio( 3469): pcm peak=158 state=0
I/SharedAudio( 3469): pcm peak=139 state=0
I/SharedAudio( 3469): pcm peak=123 state=0
I/SharedAudio( 3469): pcm peak=125 state=0
I/SharedAudio( 3469): pcm peak=99 state=0
I/SharedAudio( 3469): pcm peak=99 state=0
I/SharedAudio( 3469): pcm peak=105 state=0
I/SharedAudio( 3469): pcm peak=123 state=0
I/SharedAudio( 3469): pcm peak=143 state=0
I/SharedAudio( 3469): pcm peak=144 state=0
I/SharedAudio( 3469): pcm peak=135 state=0
I/SharedAudio( 3469): pcm peak=145 state=0
I/SharedAudio( 3469): pcm peak=121 state=0
I/SharedAudio( 3469): pcm peak=100 state=0
I/SharedAudio( 3469): pcm peak=92 state=0
I/SharedAudio( 3469): pcm peak=127 state=0
I/SharedAudio( 3469): pcm peak=131 state=0
I/SharedAudio( 3469): pcm peak=135 state=0
I/SharedAudio( 3469): pcm peak=133 state=0
I/SharedAudio( 3469): pcm peak=159 state=0
I/SharedAudio( 3469): pcm peak=114 state=0
I/SharedAudio( 3469): pcm peak=120 state=0
I/SharedAudio( 3469): pcm peak=157 state=0
I/SharedAudio( 3469): pcm peak=142 state=0
I/SharedAudio( 3469): pcm peak=117 state=0
I/SharedAudio( 3469): pcm peak=125 state=0
I/SharedAudio( 3469): pcm peak=158 state=0
I/SharedAudio( 3469): pcm peak=128 state=0
I/SharedAudio( 3469): pcm peak=138 state=0
I/SharedAudio( 3469): pcm peak=135 state=0
I/SharedAudio( 3469): pcm peak=113 state=0
I/SharedAudio( 3469): pcm peak=111 state=0
I/SharedAudio( 3469): pcm peak=111 state=0
I/SharedAudio( 3469): pcm peak=125 state=0
I/SharedAudio( 3469): pcm peak=148 state=0
I/SharedAudio( 3469): pcm peak=134 state=0
I/SharedAudio( 3469): pcm peak=136 state=0
I/SharedAudio( 3469): pcm peak=134 state=0
I/SharedAudio( 3469): pcm peak=143 state=0
I/SharedAudio( 3469): pcm peak=144 state=0
I/SharedAudio( 3469): pcm peak=133 state=0
I/SharedAudio( 3469): pcm peak=131 state=0
I/SharedAudio( 3469): pcm peak=138 state=0
I/SharedAudio( 3469): pcm peak=139 state=0
I/SharedAudio( 3469): pcm peak=152 state=0
I/SharedAudio( 3469): pcm peak=146 state=0
I/SharedAudio( 3469): pcm peak=159 state=0
I/SharedAudio( 3469): pcm peak=124 state=0
I/SharedAudio( 3469): pcm peak=130 state=0
I/SharedAudio( 3469): pcm peak=145 state=0
I/SharedAudio( 3469): pcm peak=152 state=0
I/SharedAudio( 3469): pcm peak=146 state=0
I/SharedAudio( 3469): pcm peak=166 state=0
I/SharedAudio( 3469): pcm peak=158 state=0
I/SharedAudio( 3469): pcm peak=142 state=0
I/SharedAudio( 3469): pcm peak=169 state=0
I/SharedAudio( 3469): pcm peak=142 state=0
I/SharedAudio( 3469): pcm peak=129 state=0
I/SharedAudio( 3469): pcm peak=118 state=0
I/SharedAudio( 3469): pcm peak=153 state=0
I/SharedAudio( 3469): pcm peak=171 state=0
I/SharedAudio( 3469): pcm peak=179 state=0
I/SharedAudio( 3469): pcm peak=161 state=0
I/SharedAudio( 3469): pcm peak=141 state=0
I/SharedAudio( 3469): pcm peak=164 state=0
I/SharedAudio( 3469): pcm peak=163 state=0
I/SharedAudio( 3469): pcm peak=149 state=0
